messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,5,2047,45.0531,7.65495,90,5.51,2.3
2,2,2050,45.0531,7.65462,236.9,6.3,2.1
2,3,2080,45.0523,7.65473,303.6,6.13,2.3
2,5,2247,45.0531,7.65497,90,6.09,2.1
2,2,2250,45.0531,7.65461,236.9,6.9,2.6
2,3,2280,45.0523,7.65472,303.6,6.75,3
2,7,2352,45.0523,7.65478,303.6,1.07,3.9
2,5,2447,45.0531,7.65498,90,6.67,3.8
2,2,2450,45.053,7.65459,236.9,7.48,2.7
2,3,2480,45.0524,7.6547,303.6,7.36,3.6
2,7,2552,45.0523,7.65478,303.6,1.8,3.5
2,5,2647,45.0531,7.655,90,7.32,3.4
2,2,2650,45.053,7.65458,236.9,8.1,2.8
2,3,2680,45.0524,7.65469,303.6,8,2
2,7,2752,45.0523,7.65478,303.6,2.49,3.2
2,5,2847,45.0531,7.65502,90,7.93,2.4
2,2,2850,45.053,7.65456,236.9,8.32,1.5
2,3,2880,45.0524,7.65467,303.6,8.6,3.4
2,7,2952,45.0523,7.65477,303.6,3.16,3.5
2,5,3047,45.0531,7.65504,90,8.53,3.5
2,2,3050,45.053,7.65454,236.9,8.31,-0.6
2,3,3080,45.0524,7.65465,303.6,9.18,2.3
2,7,3152,45.0523,7.65477,303.6,3.78,2.4
2,5,3247,45.0531,7.65506,90,9.11,2.2
2,2,3250,45.053,7.65452,236.9,8.32,1.1
2,3,3280,45.0524,7.65464,303.6,9.7,-0.6
2,7,3352,45.0523,7.65476,303.6,4.38,2.7
2,5,3447,45.0531,7.65508,90,9.74,3.4
2,3,3480,45.0524,7.65462,303.6,9.7,-0.5
2,7,3552,45.0523,7.65475,303.6,4.97,2.9
2,5,3647,45.0531,7.65511,90,10.33,3.5
2,3,3680,45.0524,7.6546,303.6,9.7,-0.1
2,2,3750,45.053,7.65448,236.9,8.32,0.9
2,7,3752,45.0523,7.65474,303.6,5.55,3
2,5,3847,45.0531,7.65514,90,10.94,3.7
2,3,3880,45.0524,7.65458,303.6,9.7,-0.2
2,7,3952,45.0523,7.65473,303.6,6.19,2.7
2,5,4047,45.0531,7.65516,90,11.56,3.3
2,7,4152,45.0523,7.65472,303.6,6.8,2.5
2,5,4247,45.0531,7.65519,90,12.14,3.1
2,2,4250,45.053,7.65443,236.9,8.32,0
2,7,4352,45.0524,7.6547,303.6,6.93,0.6
2,3,4380,45.0524,7.65453,303.6,9.7,-1.5
2,5,4447,45.0531,7.65523,90,12.76,2.8
2,7,4552,45.0524,7.65469,303.6,6.92,0.1
2,5,4647,45.0531,7.65526,90,13.37,2.7
2,2,4750,45.0529,7.65439,236.9,8.31,-1.2
2,7,4752,45.0524,7.65468,303.6,6.92,0.3
2,5,4847,45.0531,7.65529,90,13.88,1
2,3,4880,45.0525,7.65449,307.2,9.71,0.2
2,2,4950,45.0529,7.65437,230.3,8.32,1.5
2,3,4980,45.0525,7.65449,316.1,9.7,0.4
2,5,5047,45.0531,7.65533,90,13.87,-1.1
2,2,5050,45.0529,7.65437,222.6,8.32,-0.5
2,3,5080,45.0525,7.65449,325.6,9.71,-0.8
2,2,5150,45.0529,7.65437,214.7,8.31,-0.9
2,3,5180,45.0525,7.65448,335.2,9.71,1.3
2,5,5247,45.0531,7.65536,90,13.88,-0.4
2,2,5250,45.0529,7.65437,206.7,8.31,0.8
2,3,5280,45.0525,7.65448,344.4,9.71,1.2
2,2,5350,45.0529,7.65437,199,8.31,-1.3
2,7,5352,45.0524,7.65464,303.6,6.93,1.1
2,3,5380,45.0525,7.65448,350.5,9.7,-0.5
2,5,5447,45.0531,7.6554,90,13.87,0.4
2,2,5450,45.0529,7.65436,191.8,8.31,-0.1
2,3,5480,45.0525,7.65448,350.5,9.71,0.9
2,2,5550,45.0529,7.65436,191.3,8.32,1.5
2,3,5580,45.0525,7.65448,350.5,9.71,-0.3
2,2,5650,45.0529,7.65436,191.3,8.32,-0.3
2,3,5680,45.0525,7.65447,350.5,9.71,0.5
2,5,5747,45.0531,7.65545,90,13.88,-0.2
2,2,5750,45.0529,7.65436,191.3,8.32,0.4
2,7,5952,45.0524,7.6546,303.6,6.93,0.1
2,5,6047,45.0531,7.6555,90,13.87,0.2
2,3,6180,45.0526,7.65446,350.5,9.71,0.9
2,2,6250,45.0528,7.65435,191.3,8.32,1.8
2,5,6347,45.0531,7.65555,90,13.87,-1.8
2,7,6552,45.0524,7.65456,303.6,6.93,-0.3
2,5,6647,45.0531,7.65561,90,13.88,0.3
2,3,6680,45.0526,7.65445,350.5,9.71,-0.1
2,2,6750,45.0528,7.65434,191.3,8.32,1.5
2,5,6947,45.0531,7.65566,90,13.87,-0.6
2,7,7152,45.0524,7.65452,303.6,6.93,-0.3
2,3,7180,45.0526,7.65444,350.5,9.7,-0.2
2,5,7247,45.0531,7.65571,90,13.88,0
2,2,7250,45.0528,7.65433,191.3,8.31,-0.8
2,5,7547,45.0531,7.65576,90,13.88,0.6
2,7,7652,45.0525,7.65449,311.4,6.93,0
2,3,7680,45.0527,7.65443,350.5,9.7,-1.6
2,2,7750,45.0527,7.65432,191.3,8.31,0
2,7,7752,45.0525,7.65449,318,6.92,-1
2,5,7847,45.0531,7.65581,90,13.87,-0.1
2,7,7852,45.0525,7.65449,324.8,6.93,1
2,7,7952,45.0525,7.65448,331.6,6.93,-0.5
2,7,8052,45.0525,7.65448,338.4,6.92,-0.3
2,5,8147,45.0531,7.65587,90,13.88,1.1
2,7,8152,45.0525,7.65448,344.8,6.93,1.6
2,3,8180,45.0527,7.65443,357.5,9.71,1.6
2,2,8250,45.0527,7.65431,186.2,8.31,-0.8
